,5.07,-0.8,1.8,0.36,-0.35,0.25,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,5.07_zscore,-0.8_zscore,1.8_zscore,0.36_zscore,-0.35_zscore,0.25_zscore
349,1.02,2.07,-1.98,1.24,-0.79,0.23,418.68,12.39166667,18.39,0.403251178,0.0286,0.0799,0.0884,0.0741,0.04097304,0.002383333,0.00353857,-0.0198,-0.0156,0.000944149,-0.000902112,0.004796,0.003455,0.1103011914183904,0.6107980404407545,-0.8144876143286781,0.45284779771243794,-0.5412078295564215,-0.5632478849395887
350,4.13,3.94,-1.35,-0.68,-1.59,0.23,431.35,12.38833333,18.74,0.393626458,0.0313,0.081,0.0896,0.0748,0.037870724,0.002608333,0.001410437,0.001,0.0069,0.0005081,-0.000836058,0.033794,0.030069,0.8188901200695156,1.2317694166416588,-0.5897467852777935,-0.4287352198018148,-0.9463701300092416,-0.5632478849395887
351,1.53,1.68,2.62,-0.48,0.84,0.28,435.71,12.385,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.03871373,0.002683333,-0.000704225,0.0246,0.0228,0.00047154,-0.001111524,0.01338,0.011197,0.22650066203320512,0.48129064112612735,0.8264771692174641,-0.3369036554774135,0.2843103576161996,-0.3740243633119362
352,0.93,1.93,5.94,-1.84,2.91,0.23,438.78,12.41633333,19.34,0.393048104,0.03,0.0791,0.0867,0.0725,0.041639223,0.0025,0.004933051,0.028,0.025,0.000348846,-0.001552239,0.007282,0.005964,0.08979540248636426,0.5643082047893498,2.010825665168158,-0.9613582928833425,1.3326678100378717,-0.5632478849395887
353,0.12,-3.45,6.42,-0.42,4.13,0.22,443.38,12.44766667,19.59,0.385960197,0.0293,0.0771,0.0839,0.0698,0.040615568,0.002441667,0.003506311,0.0354,0.0256,0.001146872,-0.001479341,0.013526,0.010361,-0.09475669790187091,-1.2222297652431988,2.1820567730164506,-0.3093541861800931,1.9505403182284224,-0.6010925892651192
354,2.3,0.09,1.18,-0.15,0.9,0.25,451.67,12.479,19.84,0.333613526,0.0295,0.0758,0.0815,0.0702,0.036995019,0.002458333,0.00349406,0.0021,0.0025,0.001004723,-0.001669026,0.021202,0.018578,0.4019390784516509,-0.04670106377196784,0.3127838456725847,-0.18538157434215127,0.3146975301501611,-0.4875584762885278
355,-3.05,-0.85,2.49,-3.61,1.38,0.24,440.19,12.49366667,19.67,0.334349806,0.0287,0.0746,0.0814,0.0701,0.039700073,0.002391667,0.002785515,0.0072,0.0052,0.001004798,-0.001446284,-0.024519,-0.02578,-0.8170161525076801,-0.35884710314568447,0.7801020775085513,-1.7740676371542943,0.5577949104218531,-0.5254031806140582
356,2.89,1.9,-3.42,-0.12,-1.04,0.22,450.19,12.50833333,19.5,0.324882421,0.0296,0.0743,0.0821,0.0701,0.040144274,0.002466667,0.001388889,0.0047,0.002,0.000817304,-0.001650007,0.026259,0.022549,0.5363659170060444,0.5543460971497631,-1.3281809378735574,-0.17160683969349108,-0.6678210484479278,-0.6010925892651192
357,0.31,0.13,2.75,-0.92,1.21,0.25,450.53,12.523,19.33,0.325931248,0.0307,0.0733,0.0807,0.0668,0.041047893,0.002558333,0.001386963,0.0449,0.0293,0.000573817,-0.00174797,0.003466,0.001095,-0.0514666990453713,-0.03341825358585223,0.8728522609263767,-0.5389330969910964,0.4716979215756289,-0.4875584762885278
358,-0.34,0.95,2.85,-1.87,2.06,0.24,448.13,12.52166667,19.69,0.323777031,0.0304,0.0717,0.0793,0.0656,0.040900205,0.002533333,0.0,0.0191,0.01,0.000608962,-0.001390471,-0.004593,-0.005909,-0.19956406355444892,0.2388793552295176,0.9085254083947711,-0.9751330275320028,0.9021828658067503,-0.5254031806140582
359,3.71,0.1,0.13,-1.54,-0.04,0.25,463.56,12.52033333,20.05,0.313864983,0.0302,0.0685,0.076,0.0623,0.040165971,0.002516667,0.002770083,0.0434,0.0287,0.000281577,-0.001252164,0.037431,0.033957,0.723196438386727,-0.04338036122543894,-0.061784202745556446,-0.8236109463967406,-0.16136817288190258,-0.4875584762885278
360,-0.12,2.98,-0.31,0.24,-0.16,0.26,458.93,12.519,20.41,0.322351821,0.0295,0.0666,0.0734,0.0627,0.04174737,0.002458333,0.002071823,0.0005,0.0043,0.000470665,-0.001153731,-0.007582,-0.009842,-0.14943880172060725,0.9129819721748845,-0.21874605160649177,-0.006310023909568687,-0.22214251794982562,-0.4497137719629973
361,1.41,1.89,-2.76,0.57,0.6,0.22,467.83,12.53833333,20.90333333,0.311362833,0.0302,0.0667,0.0731,0.0623,0.040380917,0.002516667,0.004135079,0.0096,0.0051,0.000314205,-0.00105483,0.019884,0.01859,0.19915961012383693,0.5510253946032343,-1.0927381645821543,0.1452120572256935,0.16276166748035353,-0.6010925892651192
362,-1.89,-1.27,-0.74,2.23,-0.94,0.25,461.79,12.55766667,21.39666667,0.311079411,0.031,0.0693,0.0766,0.0651,0.043853595,0.002583333,0.000686342,-0.0259,-0.0188,0.000576328,-0.001051695,-0.008655,-0.012084,-0.5527193173837878,-0.49831661009989836,-0.37214058572058767,0.9074140411182245,-0.6171757608913252,-0.4875584762885278
363,1.65,1.4,0.32,1.16,-0.34,0.23,466.45,12.577,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.045746805,0.00255,0.0,0.002,0.0067,0.000269686,-0.001012497,0.012646,0.010617,0.25384171394257327,0.38831096982331814,0.005994777444392908,0.4161151719826774,-0.31330403555171016,-0.5632478849395887
364,2.87,-0.06,1.15,-1.66,1.43,0.25,481.61,12.62033333,22.16333333,0.288058567,0.0298,0.0692,0.0765,0.0637,0.043688823,0.002483333,0.002743484,0.0257,0.0202,0.000423486,-0.000976077,0.033429,0.031954,0.5318090750211497,-0.09651160196990134,0.30208190143206637,-0.8787098849913814,0.5831175542001544,-0.4875584762885278
365,-2.55,2.67,-1.54,2.14,-1.0,0.21,467.14,12.66366667,22.43666667,0.299058821,0.0325,0.0708,0.0776,0.0682,0.045059994,0.002708333,0.003419973,-0.045,-0.0286,0.001026088,-0.001135504,-0.027161,-0.030121,-0.7030951028853127,0.8100401932324885,-0.6575257654677429,0.866089837172244,-0.6475629334252868,-0.6389372935906497
366,-4.78,-1.04,1.6,0.69,1.28,0.27,445.77,12.707,22.71,0.307483805,0.035,0.0748,0.0813,0.0725,0.041915421,0.002916667,0.003408316,-0.0395,-0.0383,0.000892131,-0.001099839,-0.043456,-0.045728,-1.2111829842010713,-0.42194045152973364,0.46261106503984123,0.2003109958203343,0.5071496228652507,-0.4118690676374667
367,0.68,-1.01,1.66,1.07,1.11,0.27,450.91,12.74966667,23.54,0.303664786,0.0368,0.0788,0.0852,0.0745,0.03986253,0.003066667,0.001358696,-0.015,-0.0097,0.001373677,-0.000951628,0.012817,0.011477,0.03283487767518058,-0.4119783438901469,0.4840149535208778,0.37479096803669687,0.42105263401902643,-0.4118690676374667
368,0.58,-2.56,0.67,0.6,0.68,0.31,456.51,12.79233333,24.37,0.297469476,0.0414,0.0799,0.0862,0.0759,0.039657323,0.00345,0.000678426,-0.0082,-0.0062,0.000750498,-0.00100851,0.016309,0.012559,0.010050667750707077,-0.9266872386021265,0.1308507935837733,0.15898679187435372,0.20327789752563558,-0.26049025033534495
369,-3.03,-0.5,1.67,1.21,1.47,0.31,444.27,12.835,25.2,0.308417077,0.0414,0.0797,0.0865,0.0774,0.034010352,0.00345,0.003389831,-0.01,-0.0081,0.000797104,-0.000965722,-0.024762,-0.027113,-0.8124593105227854,-0.242622514017173,0.4875822682677172,0.43907306306377775,0.6033756692227955,-0.26049025033534495
370,2.82,-1.85,0.58,-0.65,0.14,0.28,458.25,12.86433333,25.91,0.296985381,0.0433,0.0811,0.088,0.0746,0.03122605,0.003608333,0.002702703,0.0363,0.0309,0.00032727,-0.000643094,0.032714,0.031381,0.520416970058913,-0.6909173577985747,0.09874496086221832,-0.4149604851531546,-0.07020665528001804,-0.3740243633119362
371,4.01,1.37,-2.51,0.95,-1.47,0.37,475.5,12.89366667,26.62,0.285683819,0.0448,0.0807,0.0874,0.0761,0.028720654,0.003733333,0.004043127,-0.0086,-0.0031,0.000560379,-0.000974958,0.041341,0.03799,0.7915490681601474,0.3783488621837315,-1.0035552959111684,0.319692029442056,-0.8855957849413186,-0.03342202438216212
372,-2.31,2.8,-1.89,0.52,0.93,0.37,462.71,12.923,27.33,0.290904659,0.0462,0.0834,0.0898,0.08,0.029019116,0.00385,0.002684564,-0.0331,-0.0265,0.000801875,-0.000839298,-0.02394,-0.026238,-0.6484129990665765,0.8532093263373642,-0.7823817816071232,0.1222541661445932,0.3298911164171419,-0.03342202438216212
